Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006,Sports,76,8,E
Super Mario Bros.,NES,1985,Platform,nan,,
Mario Kart Wii,Wii,2008,Racing,82,8.3,E
Wii Sports Resort,Wii,2009,Sports,80,8,E
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,nan,,
Tetris,GB,1989,Puzzle,nan,,
New Super Mario Bros.,DS,2006,Platform,89,8.5,E
Wii Play,Wii,2006,Misc,58,6.6,E
New Super Mario Bros. Wii,Wii,2009,Platform,87,8.4,E
Duck Hunt,NES,1984,Shooter,nan,,
Nintendogs,DS,2005,Simulation,nan,,
Mario Kart DS,DS,2005,Racing,91,8.6,E
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,nan,,
Wii Fit,Wii,2007,Sports,80,7.7,E
Kinect Adventures!,X360,2010,Misc,61,6.3,E
Wii Fit Plus,Wii,2009,Sports,80,7.4,E
Grand Theft Auto V,PS3,2013,Action,97,8.2,M
Grand Theft Auto: San Andreas,PS2,2004,Action,95,9,M
Super Mario World,SNES,1990,Platform,nan,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,77,7.9,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,nan,,
Super Mario Land,GB,1989,Platform,nan,,
Super Mario Bros. 3,NES,1988,Platform,nan,,
Grand Theft Auto V,X360,2013,Action,97,8.1,M
Grand Theft Auto: Vice City,PS2,2002,Action,95,8.7,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,nan,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,77,7.1,E
Pokemon Black/Pokemon White,DS,2010,Role-Playing,nan,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,95,8.4,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,88,3.4,M
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,nan,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,nan,,
Call of Duty: Black Ops,X360,2010,Shooter,87,6.3,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,nan,,
Call of Duty: Black Ops II,PS3,2012,Shooter,83,5.3,M
Call of Duty: Black Ops II,X360,2012,Shooter,83,4.8,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,94,6.3,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,88,3.2,M
Grand Theft Auto III,PS2,2001,Action,97,8.5,M
Super Smash Bros. Brawl,Wii,2008,Fighting,93,8.9,T
Mario Kart 7,3DS,2011,Racing,85,8.2,E
Call of Duty: Black Ops,PS3,2010,Shooter,88,6.4,M
Grand Theft Auto V,PS4,2014,Action,97,8.3,M
Animal Crossing: Wild World,DS,2005,Simulation,86,8.7,E
Halo 3,X360,2007,Shooter,94,7.8,M
Super Mario 64,N64,1996,Platform,nan,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,nan,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,nan,,
Gran Turismo 4,PS2,2004,Racing,89,8.5,E
Super Mario Galaxy,Wii,2007,Platform,97,8.9,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,nan,,
Grand Theft Auto IV,X360,2008,Action,98,7.9,M
Gran Turismo,PS,1997,Racing,96,8.7,E
Super Mario 3D Land,3DS,2011,Platform,90,8.4,E
Gran Turismo 5,PS3,2010,Racing,84,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,94,6.3,M
Super Mario All-Stars,SNES,1993,Platform,nan,,
Grand Theft Auto IV,PS3,2008,Action,98,7.5,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,nan,,
Super Mario 64,DS,2004,Platform,nan,,
Call of Duty: Ghosts,X360,2013,Shooter,73,2.6,M
Just Dance 3,Wii,2011,Misc,74,7.8,E10+
New Super Mario Bros. 2,3DS,2012,Platform,78,7.2,E
Mario Kart 64,N64,1996,Racing,nan,,
Halo: Reach,X360,2010,Shooter,91,7.9,M
Final Fantasy VII,PS,1997,Role-Playing,92,9.2,T
Halo 4,X360,2012,Shooter,87,7,M
Gran Turismo 2,PS,1999,Racing,93,9,T
Just Dance 2,Wii,2010,Misc,74,7.3,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,71,2.6,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,94,8.4,M
Donkey Kong Country,SNES,1994,Platform,nan,,
Minecraft,X360,2013,Misc,nan,,
Animal Crossing: New Leaf,3DS,2012,Simulation,88,8.7,E
Mario Party DS,DS,2007,Misc,72,7.8,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,96,8.4,M
Super Mario Kart,SNES,1992,Racing,nan,,
FIFA 16,PS4,2015,Sports,82,4.3,E
Halo 2,XB,2004,Shooter,95,8.2,M
Wii Party,Wii,2010,Misc,68,7.4,E
Mario Party 8,Wii,2007,Misc,62,6.3,E
FIFA Soccer 13,PS3,2012,Action,88,6.6,E
GoldenEye 007,N64,1997,Shooter,nan,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,nan,,
Final Fantasy X,PS2,2001,Role-Playing,92,8.7,T
The Sims 3,PC,2009,Simulation,86,7.6,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,nan,,
Star Wars Battlefront (2015),PS4,2015,Shooter,nan,,
Final Fantasy VIII,PS,1999,Role-Playing,90,8.6,T
Pac-Man,2600,1982,Puzzle,nan,,
Pokémon Platinum Version,DS,2008,Role-Playing,83,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,88,7.6,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,83,5.7,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,nan,,
FIFA 17,PS4,2016,Sports,85,5,E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,nan,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,nan,,
Super Mario Galaxy 2,Wii,2010,Platform,97,9.1,E
Super Mario Bros. 2,NES,1988,Platform,nan,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,nan,,
Call of Duty: World at War,X360,2008,Shooter,84,7.6,M
Battlefield 3,X360,2011,Shooter,84,7.4,M
Need for Speed Underground,PS2,2003,Racing,85,8.6,E
Just Dance,Wii,2009,Misc,49,8,E10+
Battlefield 3,PS3,2011,Shooter,85,7.5,M
Fallout 4,PS4,2015,Role-Playing,87,6.5,M
Tekken 3,PS,1998,Fighting,96,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,95,9,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,nan,,
Crash Bandicoot 3: Warped,PS,1998,Platform,91,8.9,E
Mario Kart 8,WiiU,2014,Racing,88,9.1,E
Super Smash Bros. Melee,GC,2001,Fighting,92,9.1,T
Mario Kart: Double Dash!!,GC,2003,Racing,nan,,
Need for Speed Underground 2,PS2,2004,Racing,82,8.6,E
Medal of Honor: Frontline,PS2,2002,Shooter,88,8.5,T
Crash Bandicoot,PS,1996,Platform,nan,,
Just Dance 4,Wii,2012,Misc,74,7.3,E10+
Gears of War 2,X360,2008,Shooter,93,7.7,M
Uncharted 3: Drake's Deception,PS3,2011,Action,92,8.3,T
Zumba Fitness,Wii,2010,Sports,nan,tbd,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,94,8.4,M
Uncharted 2: Among Thieves,PS3,2009,Action,96,8.8,T
FIFA 12,PS3,2011,Sports,nan,,
Big Brain Academy,DS,2005,Misc,74,7.4,E
The Legend of Zelda,NES,1986,Action,nan,,
Red Dead Redemption,PS3,2010,Action,95,8.8,M
FIFA 14,PS3,2013,Sports,86,4.3,E
Assassin's Creed III,PS3,2012,Action,85,6.9,M
Donkey Kong Country Returns,Wii,2010,Platform,87,8.6,E
Halo: Combat Evolved,XB,2001,Shooter,97,8.6,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,92,6.4,M
Pokémon Emerald Version,GBA,2004,Role-Playing,76,9,E
Kingdom Hearts,PS2,2002,Role-Playing,85,8.8,E
Pokémon Crystal Version,GB,2000,Role-Playing,nan,,
Halo 3: ODST,X360,2009,Shooter,83,7.1,M
Red Dead Redemption,X360,2010,Action,95,9,M
Super Mario Sunshine,GC,2002,Platform,92,8.6,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,nan,,
World of Warcraft,PC,2004,Role-Playing,93,7.3,T
Driver,PS,1999,Action,87,8.1,T
Gears of War 3,X360,2011,Shooter,91,7.8,M
Kinect Sports,X360,2010,Sports,73,7.4,E10+
Gears of War,X360,2006,Shooter,94,8.3,M
FIFA 15,PS4,2014,Sports,82,5.7,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,96,8.7,M
Sonic the Hedgehog 2,GEN,1992,Platform,nan,,
Metal Gear Solid,PS,1998,Action,94,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,94,8.7,M
Final Fantasy XII,PS2,2006,Role-Playing,92,7.6,T
The Last of Us,PS3,2013,Action,95,9.1,M
LittleBigPlanet,PS3,2008,Platform,95,6.8,E
Resident Evil 2,PS,1998,Action,89,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,87,8.8,E10+
Tekken 2,PS,1996,Fighting,89,8.9,T
Destiny,PS4,2014,Shooter,76,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,80,8.9,E10+
Cooking Mama,DS,2006,Simulation,67,7.2,E
Tetris,NES,1988,Puzzle,nan,,
Super Smash Bros.,N64,1999,Fighting,nan,,
